Term           | doc1 | doc2 | doc3 | doc4 | doc5
analysis       |  0   |  0   |  0   |  1   |  0  
applications   |  0   |  1   |  0   |  0   |  0  
c              |  0   |  0   |  0   |  0   |  1  
data           |  1   |  0   |  0   |  1   |  0  
decision       |  0   |  0   |  1   |  0   |  0  
development    |  0   |  1   |  0   |  0   |  1  
enterprise     |  0   |  1   |  0   |  0   |  0  
game           |  0   |  0   |  0   |  0   |  1  
graphics       |  0   |  0   |  0   |  0   |  1  
great          |  1   |  0   |  0   |  0   |  0  
java           |  0   |  1   |  0   |  0   |  1  
learning       |  1   |  0   |  1   |  0   |  0  
libraries      |  0   |  0   |  0   |  1   |  0  
machine        |  1   |  0   |  1   |  0   |  0  
networks       |  0   |  0   |  1   |  0   |  0  
neural         |  0   |  0   |  1   |  0   |  0  
pandas         |  0   |  0   |  0   |  1   |  0  
python         |  1   |  0   |  0   |  1   |  0  
science        |  1   |  0   |  0   |  0   |  0  
supports       |  0   |  0   |  0   |  1   |  0  
trees          |  0   |  0   |  1   |  0   |  0  
web            |  0   |  1   |  0   |  0   |  0  
